Contrato;Conv;Taxa Originação;Taxa Cessão
3002243628;MT;1.9;1.9
3002243503;MT;1.9;1.9
3002221467;MT;1.95;1.95
3002304081;MT;1.9;1.9
3002306771;MT;1.9;1.9
3002272700;MA;1.95;1.95
3002243073;MT;1.9;1.9
3002256174;MT;1.9;1.9
3002250391;MT;1.9;1.9
3002250946;MT;1.95;1.95
3002276230;MT;1.9;1.9
3002226805;MT;1.95;1.95
3002209769;MA;1.95;1.95
3002292229;MT;1.95;1.95
3002184145;MT;1.95;1.95
3002276206;MT;1.9;1.9
3002277113;MT;1.9;1.9
3002243115;MT;1.9;1.9
3002241176;MT;1.9;1.9
3002263907;MT;1.9;1.9
3002243677;MT;1.9;1.9
3002108581;MT;1.95;1.95
3002248742;MT;1.9;1.9
3002243966;MT;1.95;1.95
3002250136;MA;1.9;1.9
3002252512;MA;1.9;1.9
3002280851;MA;1.9;1.9
3002254021;MA;1.9;1.9
3002290017;MA;1.9;1.9
3002248833;MA;1.9;1.9
3002254807;MA;1.9;1.9
3002290611;MA;1.9;1.9
3002248528;MA;1.9;1.9
3002249146;MA;1.9;1.9
3002282774;MA;1.9;1.9
3002250375;MA;1.9;1.9
3002292567;MA;1.9;1.9
3002265811;MA;1.9;1.9
3002249856;MA;1.9;1.9
3002249997;MA;1.9;1.9
3002249781;MA;1.9;1.9
3002257834;MA;1.9;1.9
3002250318;MA;1.9;1.9
3002271181;MA;1.9;1.9
3002250284;MA;1.9;1.9
3002248734;MA;1.9;1.9
3002319105;MA;1.9;1.9
3002259046;MA;1.9;1.9
3002265621;MA;1.9;1.9
3002290066;MA;1.9;1.9
3002248643;MA;1.9;1.9
3002254518;MA;1.95;1.95
3002318719;MA;1.9;1.9
3002288961;MA;1.95;1.95
3002249849;MA;1.9;1.9
3002265605;MA;1.9;1.9
3002247322;MA;1.95;1.95
3002287138;MA;1.9;1.9
3002262107;MA;1.9;1.9
3002249922;MA;1.9;1.9
3002252462;MA;1.9;1.9
3002268963;MA;1.95;1.95
3002312340;MA;1.9;1.9
3002294951;MA;1.9;1.9
3002303919;MA;1.9;1.9
3002255176;MA;1.95;1.95
3002268468;MA;1.9;1.9
3002274177;MA;1.9;1.9
3002248916;MA;1.9;1.9
3002250060;MA;1.9;1.9
3002257644;MA;1.9;1.9
3002146714;MA;1.95;1.95
3002265779;MA;1.9;1.9
3002248676;MA;1.9;1.9
3002250128;MA;1.9;1.9
3002259806;MA;1.9;1.9
3002263170;MA;1.9;1.9
3002262248;MA;1.9;1.9
3002041345;MA;1.95;1.95
3002286973;MA;1.9;1.9
3002263865;MA;1.9;1.9
3002271702;MA;1.9;1.9
3002198202;MA;1.95;1.95
3002248775;MA;1.9;1.9
3002271686;MA;1.9;1.9
3002277121;MA;1.9;1.9
3002274391;MA;1.9;1.9
3002248726;MA;1.9;1.9
3002262263;MA;1.9;1.9
3002224826;MA;1.95;1.95
